o_zone_id,d_zone_id,link_ids,prob_ref,volume_ref,cost_base,source,path_id
1,2,1,1.0,100.0,6.00086,s0_baseline,0.0
1,3,2,1.0,100.0,4.00939,s0_baseline,1.0
1,4,2;6,1.0,500.0,8.32047,s0_baseline,2.0
1,5,2;6;9,1.0,200.0,10.6722,s0_baseline,3.0
1,6,1;4,1.0,300.0,12.5495,s0_baseline,4.0
1,7,2;6;9;13;24;20,0.0155554,7.7777,40.9852,s0_baseline,5.0
1,7,1;4;16;20,0.984445,492.222,33.0024,s0_baseline,6.0
1,8,2;6;9;13;24,0.0155554,12.4443,35.459,s0_baseline,7.0
1,8,1;4;16,0.984445,787.556,27.4762,s0_baseline,8.0
1,9,2;6;9;13,1.0,500.0,20.5802,s0_baseline,9.0
1,10,2;6;10;32,0.00909454,11.8229,28.0067,s0_baseline,10.0
1,10,2;7;36;32,0.00690141,8.97184,33.8759,s0_baseline,11.0
1,10,2;6;9;13;25,0.984004,1279.21,26.3455,s0_baseline,12.0
1,11,2;7;36,0.00690141,3.45071,21.6741,s0_baseline,13.0
1,11,2;6;10,0.993099,496.549,15.8048,s0_baseline,14.0
1,12,2;7,1.0,200.0,8.03337,s0_baseline,15.0
1,13,2;7;37,1.0,500.0,11.0611,s0_baseline,16.0
1,14,2;7;36;34,0.00406006,1.21802,35.6505,s0_baseline,17.0
1,14,2;7;37;39;76;71,0.00632962,1.89888,41.3567,s0_baseline,18.0
1,14,2;6;10;34,0.98961,296.883,29.7812,s0_baseline,19.0
1,15,2;6;10;32;28,0.00909454,4.54727,41.6773,s0_baseline,20.0
1,15,2;7;36;34;41,0.00406006,2.03003,47.8815,s0_baseline,21.0
1,15,2;7;37;39;75;65;67,0.00284135,1.42068,52.9814,s0_baseline,22.0
1,15,2;6;9;13;25;28,0.964237,482.118,40.0162,s0_baseline,23.0
1,15,2;6;10;34;41,0.0197673,9.88363,42.0122,s0_baseline,24.0
1,16,2;6;9;13;25;29,0.00593929,2.96965,46.7275,s0_baseline,25.0
1,16,1;4;16;20;18;55,0.0461315,23.0657,38.2294,s0_baseline,26.0
1,16,2;6;9;13;24;20;18;55,0.0155554,7.7777,46.2121,s0_baseline,27.0
1,16,1;4;16;22,0.932374,466.187,38.1527,s0_baseline,28.0
1,17,2;6;9;13;25;29;49,0.00593929,2.37572,56.0,s0_baseline,29.0
1,17,2;7;36;32;30,0.00284135,1.13654,50.5558,s0_baseline,30.0
1,17,2;6;10;32;30,0.00909454,3.63782,44.6865,s0_baseline,31.0
1,17,2;6;9;13;25;30,0.87598,350.392,43.0254,s0_baseline,32.0
1,17,1;4;16;22;49,0.106144,42.4577,47.4252,s0_baseline,33.0
1,18,1;4;16;22;50,0.00705753,0.705753,41.3235,s0_baseline,34.0
1,18,2;6;9;13;24;20;18,0.0155554,1.55554,43.0433,s0_baseline,35.0
1,18,1;4;16;20;18,0.977387,97.7387,35.0606,s0_baseline,36.0
1,19,2;6;10;34;41;45,0.0131078,3.93235,46.3267,s0_baseline,37.0
1,19,2;6;10;32;28;45,0.00909454,2.72836,45.9918,s0_baseline,38.0
1,19,2;7;37;39;75;65;67;45,0.00284135,0.852405,57.2959,s0_baseline,39.0
1,19,2;7;36;34;41;45,0.00406006,1.21802,52.1959,s0_baseline,40.0
1,19,2;6;9;13;25;28;45,0.964237,289.271,44.3306,s0_baseline,41.0
1,19,1;4;16;22;49;53,0.00665941,1.99782,54.9027,s0_baseline,42.0
1,20,2;6;9;13;24;20;18;56,0.0120671,3.62014,47.3134,s0_baseline,43.0
1,20,1;4;16;22;50;56,0.00705753,2.11726,45.5935,s0_baseline,44.0
1,20,2;6;9;13;25;28;45;59,0.00348826,1.04648,53.7174,s0_baseline,45.0
1,20,1;4;16;20;18;56,0.977387,293.216,39.3306,s0_baseline,46.0
1,21,2;6;10;34;42;72;69,0.0120671,1.20671,54.872,s0_baseline,47.0
1,21,2;6;9;13;25;28;45;59;62,0.00348826,0.348826,61.9785,s0_baseline,48.0
1,21,2;7;37;39;75,0.984445,98.4445,39.8143,s0_baseline,49.0
1,22,2;6;10;34;42;72,0.0120671,4.82685,50.5768,s0_baseline,50.0
1,22,2;7;36;34;42;72,0.00406006,1.62403,56.4461,s0_baseline,51.0
1,22,2;6;9;13;25;28;46,0.00348826,1.39531,49.0015,s0_baseline,52.0
1,22,2;7;37;39;76;72,0.343312,137.325,44.1863,s0_baseline,53.0
1,22,2;7;37;39;75;65,0.637073,254.829,44.1131,s0_baseline,54.0
1,23,2;6;10;34;42,0.0120671,3.62014,38.6809,s0_baseline,55.0
